,date,ron95,ron97,diesel,ron95_budi95,USD,index,state,division,Rate
4819,2023-07-01,2.05,3.37,2.15,2.05,4.679,138.7,W.P. Putrajaya,overall,3.0
4840,2023-08-01,2.05,3.37,2.15,2.05,4.516,134.1,Johor,overall,3.0
4841,2023-08-01,2.05,3.37,2.15,2.05,4.516,125.7,Kedah,overall,3.0
4842,2023-08-01,2.05,3.37,2.15,2.05,4.516,128.2,Kelantan,overall,3.0
4843,2023-08-01,2.05,3.37,2.15,2.05,4.516,127.4,Melaka,overall,3.0
4844,2023-08-01,2.05,3.37,2.15,2.05,4.516,129.7,Negeri Sembilan,overall,3.0
4845,2023-08-01,2.05,3.37,2.15,2.05,4.516,128.2,Pahang,overall,3.0
4846,2023-08-01,2.05,3.37,2.15,2.05,4.516,126.7,Perak,overall,3.0
4847,2023-08-01,2.05,3.37,2.15,2.05,4.516,123.3,Perlis,overall,3.0
4848,2023-08-01,2.05,3.37,2.15,2.05,4.516,132.0,Pulau Pinang,overall,3.0
4849,2023-08-01,2.05,3.37,2.15,2.05,4.516,121.2,Sabah,overall,3.0
4850,2023-08-01,2.05,3.37,2.15,2.05,4.516,125.0,Sarawak,overall,3.0
4851,2023-08-01,2.05,3.37,2.15,2.05,4.516,136.2,Selangor,overall,3.0
4852,2023-08-01,2.05,3.37,2.15,2.05,4.516,125.5,Terengganu,overall,3.0
4853,2023-08-01,2.05,3.37,2.15,2.05,4.516,131.5,W.P. Kuala Lumpur,overall,3.0
4854,2023-08-01,2.05,3.37,2.15,2.05,4.516,122.8,W.P. Labuan,overall,3.0
4855,2023-08-01,2.05,3.37,2.15,2.05,4.516,138.6,W.P. Putrajaya,overall,3.0
4878,2023-09-01,2.05,3.37,2.15,2.05,4.641,134.2,Johor,overall,3.0
4879,2023-09-01,2.05,3.37,2.15,2.05,4.641,125.8,Kedah,overall,3.0
4880,2023-09-01,2.05,3.37,2.15,2.05,4.641,128.2,Kelantan,overall,3.0
4881,2023-09-01,2.05,3.37,2.15,2.05,4.641,127.4,Melaka,overall,3.0
4882,2023-09-01,2.05,3.37,2.15,2.05,4.641,129.6,Negeri Sembilan,overall,3.0
4883,2023-09-01,2.05,3.37,2.15,2.05,4.641,128.3,Pahang,overall,3.0
4884,2023-09-01,2.05,3.37,2.15,2.05,4.641,126.8,Perak,overall,3.0
4885,2023-09-01,2.05,3.37,2.15,2.05,4.641,123.3,Perlis,overall,3.0
4886,2023-09-01,2.05,3.37,2.15,2.05,4.641,132.2,Pulau Pinang,overall,3.0
4887,2023-09-01,2.05,3.37,2.15,2.05,4.641,121.3,Sabah,overall,3.0
4888,2023-09-01,2.05,3.37,2.15,2.05,4.641,125.3,Sarawak,overall,3.0
4889,2023-09-01,2.05,3.37,2.15,2.05,4.641,136.2,Selangor,overall,3.0
4890,2023-09-01,2.05,3.37,2.15,2.05,4.641,125.6,Terengganu,overall,3.0
4891,2023-09-01,2.05,3.37,2.15,2.05,4.641,131.5,W.P. Kuala Lumpur,overall,3.0
4892,2023-09-01,2.05,3.37,2.15,2.05,4.641,122.8,W.P. Labuan,overall,3.0
4893,2023-09-01,2.05,3.37,2.15,2.05,4.641,138.7,W.P. Putrajaya,overall,3.0
4914,2023-10-01,2.05,3.37,2.15,2.05,4.69,134.2,Johor,overall,3.0
4915,2023-10-01,2.05,3.37,2.15,2.05,4.69,125.8,Kedah,overall,3.0
4916,2023-10-01,2.05,3.37,2.15,2.05,4.69,128.3,Kelantan,overall,3.0
4917,2023-10-01,2.05,3.37,2.15,2.05,4.69,127.5,Melaka,overall,3.0
4918,2023-10-01,2.05,3.37,2.15,2.05,4.69,129.8,Negeri Sembilan,overall,3.0
4919,2023-10-01,2.05,3.37,2.15,2.05,4.69,128.3,Pahang,overall,3.0
4920,2023-10-01,2.05,3.37,2.15,2.05,4.69,126.8,Perak,overall,3.0
4921,2023-10-01,2.05,3.37,2.15,2.05,4.69,123.4,Perlis,overall,3.0
4922,2023-10-01,2.05,3.37,2.15,2.05,4.69,132.4,Pulau Pinang,overall,3.0
4923,2023-10-01,2.05,3.37,2.15,2.05,4.69,121.3,Sabah,overall,3.0
4924,2023-10-01,2.05,3.37,2.15,2.05,4.69,125.4,Sarawak,overall,3.0
4925,2023-10-01,2.05,3.37,2.15,2.05,4.69,136.4,Selangor,overall,3.0
4926,2023-10-01,2.05,3.37,2.15,2.05,4.69,125.7,Terengganu,overall,3.0
4927,2023-10-01,2.05,3.37,2.15,2.05,4.69,131.6,W.P. Kuala Lumpur,overall,3.0
4928,2023-10-01,2.05,3.37,2.15,2.05,4.69,122.9,W.P. Labuan,overall,3.0
4929,2023-10-01,2.05,3.37,2.15,2.05,4.69,138.9,W.P. Putrajaya,overall,3.0
4952,2023-11-01,2.05,3.47,2.15,2.05,4.7735,134.3,Johor,overall,3.0
4953,2023-11-01,2.05,3.47,2.15,2.05,4.7735,126.0,Kedah,overall,3.0
4954,2023-11-01,2.05,3.47,2.15,2.05,4.7735,128.1,Kelantan,overall,3.0
4955,2023-11-01,2.05,3.47,2.15,2.05,4.7735,127.4,Melaka,overall,3.0
4956,2023-11-01,2.05,3.47,2.15,2.05,4.7735,129.7,Negeri Sembilan,overall,3.0
4957,2023-11-01,2.05,3.47,2.15,2.05,4.7735,128.4,Pahang,overall,3.0
4958,2023-11-01,2.05,3.47,2.15,2.05,4.7735,126.9,Perak,overall,3.0
4959,2023-11-01,2.05,3.47,2.15,2.05,4.7735,123.2,Perlis,overall,3.0
4960,2023-11-01,2.05,3.47,2.15,2.05,4.7735,132.6,Pulau Pinang,overall,3.0
4961,2023-11-01,2.05,3.47,2.15,2.05,4.7735,121.3,Sabah,overall,3.0
4962,2023-11-01,2.05,3.47,2.15,2.05,4.7735,125.5,Sarawak,overall,3.0
4963,2023-11-01,2.05,3.47,2.15,2.05,4.7735,136.5,Selangor,overall,3.0
4964,2023-11-01,2.05,3.47,2.15,2.05,4.7735,125.6,Terengganu,overall,3.0
4965,2023-11-01,2.05,3.47,2.15,2.05,4.7735,131.4,W.P. Kuala Lumpur,overall,3.0
4966,2023-11-01,2.05,3.47,2.15,2.05,4.7735,123.2,W.P. Labuan,overall,3.0
4967,2023-11-01,2.05,3.47,2.15,2.05,4.7735,138.9,W.P. Putrajaya,overall,3.0
4988,2023-12-01,2.05,3.47,2.15,2.05,4.6775,134.6,Johor,overall,3.0
4989,2023-12-01,2.05,3.47,2.15,2.05,4.6775,126.2,Kedah,overall,3.0
4990,2023-12-01,2.05,3.47,2.15,2.05,4.6775,128.4,Kelantan,overall,3.0
4991,2023-12-01,2.05,3.47,2.15,2.05,4.6775,127.6,Melaka,overall,3.0
4992,2023-12-01,2.05,3.47,2.15,2.05,4.6775,130.0,Negeri Sembilan,overall,3.0
4993,2023-12-01,2.05,3.47,2.15,2.05,4.6775,128.7,Pahang,overall,3.0
4994,2023-12-01,2.05,3.47,2.15,2.05,4.6775,127.1,Perak,overall,3.0
4995,2023-12-01,2.05,3.47,2.15,2.05,4.6775,123.5,Perlis,overall,3.0
4996,2023-12-01,2.05,3.47,2.15,2.05,4.6775,132.9,Pulau Pinang,overall,3.0
4997,2023-12-01,2.05,3.47,2.15,2.05,4.6775,121.4,Sabah,overall,3.0
4998,2023-12-01,2.05,3.47,2.15,2.05,4.6775,125.7,Sarawak,overall,3.0
4999,2023-12-01,2.05,3.47,2.15,2.05,4.6775,136.8,Selangor,overall,3.0
5000,2023-12-01,2.05,3.47,2.15,2.05,4.6775,126.0,Terengganu,overall,3.0
5001,2023-12-01,2.05,3.47,2.15,2.05,4.6775,131.6,W.P. Kuala Lumpur,overall,3.0
5002,2023-12-01,2.05,3.47,2.15,2.05,4.6775,123.3,W.P. Labuan,overall,3.0
5003,2023-12-01,2.05,3.47,2.15,2.05,4.6775,139.2,W.P. Putrajaya,overall,3.0
5023,2024-01-01,2.05,3.47,2.15,2.05,4.5915,134.9,Johor,overall,3.0
5024,2024-01-01,2.05,3.47,2.15,2.05,4.5915,126.4,Kedah,overall,3.0
5025,2024-01-01,2.05,3.47,2.15,2.05,4.5915,128.6,Kelantan,overall,3.0
5026,2024-01-01,2.05,3.47,2.15,2.05,4.5915,127.8,Melaka,overall,3.0
5027,2024-01-01,2.05,3.47,2.15,2.05,4.5915,130.1,Negeri Sembilan,overall,3.0
5028,2024-01-01,2.05,3.47,2.15,2.05,4.5915,129.4,Pahang,overall,3.0
5029,2024-01-01,2.05,3.47,2.15,2.05,4.5915,127.0,Perak,overall,3.0
5030,2024-01-01,2.05,3.47,2.15,2.05,4.5915,123.9,Perlis,overall,3.0
5031,2024-01-01,2.05,3.47,2.15,2.05,4.5915,133.2,Pulau Pinang,overall,3.0
5032,2024-01-01,2.05,3.47,2.15,2.05,4.5915,121.6,Sabah,overall,3.0
5033,2024-01-01,2.05,3.47,2.15,2.05,4.5915,125.8,Sarawak,overall,3.0
5034,2024-01-01,2.05,3.47,2.15,2.05,4.5915,137.1,Selangor,overall,3.0
5035,2024-01-01,2.05,3.47,2.15,2.05,4.5915,126.1,Terengganu,overall,3.0
5036,2024-01-01,2.05,3.47,2.15,2.05,4.5915,132.0,W.P. Kuala Lumpur,overall,3.0
5037,2024-01-01,2.05,3.47,2.15,2.05,4.5915,123.3,W.P. Labuan,overall,3.0
5038,2024-01-01,2.05,3.47,2.15,2.05,4.5915,139.5,W.P. Putrajaya,overall,3.0
5061,2024-02-01,2.05,3.47,2.15,2.05,4.7305,135.4,Johor,overall,3.0
5062,2024-02-01,2.05,3.47,2.15,2.05,4.7305,126.3,Kedah,overall,3.0
5063,2024-02-01,2.05,3.47,2.15,2.05,4.7305,129.2,Kelantan,overall,3.0
5064,2024-02-01,2.05,3.47,2.15,2.05,4.7305,128.3,Melaka,overall,3.0
5065,2024-02-01,2.05,3.47,2.15,2.05,4.7305,130.5,Negeri Sembilan,overall,3.0
5066,2024-02-01,2.05,3.47,2.15,2.05,4.7305,130.6,Pahang,overall,3.0
5067,2024-02-01,2.05,3.47,2.15,2.05,4.7305,127.3,Perak,overall,3.0
5068,2024-02-01,2.05,3.47,2.15,2.05,4.7305,124.5,Perlis,overall,3.0
5069,2024-02-01,2.05,3.47,2.15,2.05,4.7305,134.9,Pulau Pinang,overall,3.0
5070,2024-02-01,2.05,3.47,2.15,2.05,4.7305,121.9,Sabah,overall,3.0
5071,2024-02-01,2.05,3.47,2.15,2.05,4.7305,126.0,Sarawak,overall,3.0
5072,2024-02-01,2.05,3.47,2.15,2.05,4.7305,138.0,Selangor,overall,3.0
5073,2024-02-01,2.05,3.47,2.15,2.05,4.7305,126.8,Terengganu,overall,3.0
5074,2024-02-01,2.05,3.47,2.15,2.05,4.7305,132.4,W.P. Kuala Lumpur,overall,3.0
5075,2024-02-01,2.05,3.47,2.15,2.05,4.7305,123.3,W.P. Labuan,overall,3.0
5076,2024-02-01,2.05,3.47,2.15,2.05,4.7305,140.1,W.P. Putrajaya,overall,3.0
5096,2024-03-01,2.05,3.47,2.15,2.05,4.7385,135.4,Johor,overall,3.0
5097,2024-03-01,2.05,3.47,2.15,2.05,4.7385,127.0,Kedah,overall,3.0
5098,2024-03-01,2.05,3.47,2.15,2.05,4.7385,129.2,Kelantan,overall,3.0
5099,2024-03-01,2.05,3.47,2.15,2.05,4.7385,128.2,Melaka,overall,3.0
5100,2024-03-01,2.05,3.47,2.15,2.05,4.7385,130.4,Negeri Sembilan,overall,3.0
5101,2024-03-01,2.05,3.47,2.15,2.05,4.7385,130.4,Pahang,overall,3.0
5102,2024-03-01,2.05,3.47,2.15,2.05,4.7385,127.2,Perak,overall,3.0
5103,2024-03-01,2.05,3.47,2.15,2.05,4.7385,124.5,Perlis,overall,3.0
5104,2024-03-01,2.05,3.47,2.15,2.05,4.7385,135.1,Pulau Pinang,overall,3.0
5105,2024-03-01,2.05,3.47,2.15,2.05,4.7385,121.9,Sabah,overall,3.0
5106,2024-03-01,2.05,3.47,2.15,2.05,4.7385,127.2,Sarawak,overall,3.0
5107,2024-03-01,2.05,3.47,2.15,2.05,4.7385,138.1,Selangor,overall,3.0
5108,2024-03-01,2.05,3.47,2.15,2.05,4.7385,126.9,Terengganu,overall,3.0
5109,2024-03-01,2.05,3.47,2.15,2.05,4.7385,132.2,W.P. Kuala Lumpur,overall,3.0
5110,2024-03-01,2.05,3.47,2.15,2.05,4.7385,123.1,W.P. Labuan,overall,3.0
5111,2024-03-01,2.05,3.47,2.15,2.05,4.7385,140.0,W.P. Putrajaya,overall,3.0
5133,2024-04-01,2.05,3.47,2.15,2.05,4.7235,135.4,Johor,overall,3.0
5134,2024-04-01,2.05,3.47,2.15,2.05,4.7235,127.0,Kedah,overall,3.0
5135,2024-04-01,2.05,3.47,2.15,2.05,4.7235,129.2,Kelantan,overall,3.0
5136,2024-04-01,2.05,3.47,2.15,2.05,4.7235,128.4,Melaka,overall,3.0
5137,2024-04-01,2.05,3.47,2.15,2.05,4.7235,130.5,Negeri Sembilan,overall,3.0
5138,2024-04-01,2.05,3.47,2.15,2.05,4.7235,130.6,Pahang,overall,3.0
5139,2024-04-01,2.05,3.47,2.15,2.05,4.7235,127.3,Perak,overall,3.0
5140,2024-04-01,2.05,3.47,2.15,2.05,4.7235,124.5,Perlis,overall,3.0
5141,2024-04-01,2.05,3.47,2.15,2.05,4.7235,135.4,Pulau Pinang,overall,3.0
5142,2024-04-01,2.05,3.47,2.15,2.05,4.7235,122.1,Sabah,overall,3.0
5143,2024-04-01,2.05,3.47,2.15,2.05,4.7235,127.4,Sarawak,overall,3.0
5144,2024-04-01,2.05,3.47,2.15,2.05,4.7235,138.4,Selangor,overall,3.0
5145,2024-04-01,2.05,3.47,2.15,2.05,4.7235,126.9,Terengganu,overall,3.0
5146,2024-04-01,2.05,3.47,2.15,2.05,4.7235,132.4,W.P. Kuala Lumpur,overall,3.0
5147,2024-04-01,2.05,3.47,2.15,2.05,4.7235,123.0,W.P. Labuan,overall,3.0
5148,2024-04-01,2.05,3.47,2.15,2.05,4.7235,140.3,W.P. Putrajaya,overall,3.0
5169,2024-05-01,2.05,3.47,2.15,2.05,4.7675,136.0,Johor,overall,3.0
5170,2024-05-01,2.05,3.47,2.15,2.05,4.7675,127.3,Kedah,overall,3.0
5171,2024-05-01,2.05,3.47,2.15,2.05,4.7675,129.4,Kelantan,overall,3.0
5172,2024-05-01,2.05,3.47,2.15,2.05,4.7675,128.7,Melaka,overall,3.0
5173,2024-05-01,2.05,3.47,2.15,2.05,4.7675,130.8,Negeri Sembilan,overall,3.0
5174,2024-05-01,2.05,3.47,2.15,2.05,4.7675,131.1,Pahang,overall,3.0
5175,2024-05-01,2.05,3.47,2.15,2.05,4.7675,127.7,Perak,overall,3.0
5176,2024-05-01,2.05,3.47,2.15,2.05,4.7675,124.9,Perlis,overall,3.0
5177,2024-05-01,2.05,3.47,2.15,2.05,4.7675,135.9,Pulau Pinang,overall,3.0
5178,2024-05-01,2.05,3.47,2.15,2.05,4.7675,122.2,Sabah,overall,3.0
5179,2024-05-01,2.05,3.47,2.15,2.05,4.7675,127.6,Sarawak,overall,3.0
5180,2024-05-01,2.05,3.47,2.15,2.05,4.7675,139.0,Selangor,overall,3.0
5181,2024-05-01,2.05,3.47,2.15,2.05,4.7675,127.2,Terengganu,overall,3.0
5182,2024-05-01,2.05,3.47,2.15,2.05,4.7675,132.5,W.P. Kuala Lumpur,overall,3.0
5183,2024-05-01,2.05,3.47,2.15,2.05,4.7675,123.2,W.P. Labuan,overall,3.0
5184,2024-05-01,2.05,3.47,2.15,2.05,4.7675,140.3,W.P. Putrajaya,overall,3.0
5207,2024-06-01,2.05,3.47,2.15,2.05,4.704,136.4,Johor,overall,3.0
5208,2024-06-01,2.05,3.47,2.15,2.05,4.704,127.4,Kedah,overall,3.0
5209,2024-06-01,2.05,3.47,2.15,2.05,4.704,129.6,Kelantan,overall,3.0
5210,2024-06-01,2.05,3.47,2.15,2.05,4.704,128.9,Melaka,overall,3.0
5211,2024-06-01,2.05,3.47,2.15,2.05,4.704,131.1,Negeri Sembilan,overall,3.0
5212,2024-06-01,2.05,3.47,2.15,2.05,4.704,131.5,Pahang,overall,3.0
5213,2024-06-01,2.05,3.47,2.15,2.05,4.704,127.9,Perak,overall,3.0
5214,2024-06-01,2.05,3.47,2.15,2.05,4.704,125.1,Perlis,overall,3.0
5215,2024-06-01,2.05,3.47,2.15,2.05,4.704,136.1,Pulau Pinang,overall,3.0
5216,2024-06-01,2.05,3.47,2.15,2.05,4.704,122.3,Sabah,overall,3.0
5217,2024-06-01,2.05,3.47,2.15,2.05,4.704,127.8,Sarawak,overall,3.0
5218,2024-06-01,2.05,3.47,2.15,2.05,4.704,139.0,Selangor,overall,3.0
5219,2024-06-01,2.05,3.47,2.15,2.05,4.704,127.4,Terengganu,overall,3.0
5220,2024-06-01,2.05,3.47,2.15,2.05,4.704,132.9,W.P. Kuala Lumpur,overall,3.0
5221,2024-06-01,2.05,3.47,2.15,2.05,4.704,123.6,W.P. Labuan,overall,3.0
5222,2024-06-01,2.05,3.47,2.15,2.05,4.704,140.4,W.P. Putrajaya,overall,3.0
5241,2024-07-01,2.05,3.47,3.35,2.05,4.7145,136.4,Johor,overall,3.0
5242,2024-07-01,2.05,3.47,3.35,2.05,4.7145,127.5,Kedah,overall,3.0
5243,2024-07-01,2.05,3.47,3.35,2.05,4.7145,129.5,Kelantan,overall,3.0
5244,2024-07-01,2.05,3.47,3.35,2.05,4.7145,129.1,Melaka,overall,3.0
5245,2024-07-01,2.05,3.47,3.35,2.05,4.7145,131.2,Negeri Sembilan,overall,3.0
5246,2024-07-01,2.05,3.47,3.35,2.05,4.7145,131.6,Pahang,overall,3.0
5247,2024-07-01,2.05,3.47,3.35,2.05,4.7145,127.8,Perak,overall,3.0
5248,2024-07-01,2.05,3.47,3.35,2.05,4.7145,125.2,Perlis,overall,3.0
5249,2024-07-01,2.05,3.47,3.35,2.05,4.7145,136.3,Pulau Pinang,overall,3.0
5250,2024-07-01,2.05,3.47,3.35,2.05,4.7145,122.4,Sabah,overall,3.0
5251,2024-07-01,2.05,3.47,3.35,2.05,4.7145,127.9,Sarawak,overall,3.0
5252,2024-07-01,2.05,3.47,3.35,2.05,4.7145,139.2,Selangor,overall,3.0
5253,2024-07-01,2.05,3.47,3.35,2.05,4.7145,127.6,Terengganu,overall,3.0
5254,2024-07-01,2.05,3.47,3.35,2.05,4.7145,133.4,W.P. Kuala Lumpur,overall,3.0
5255,2024-07-01,2.05,3.47,3.35,2.05,4.7145,123.4,W.P. Labuan,overall,3.0
5256,2024-07-01,2.05,3.47,3.35,2.05,4.7145,140.3,W.P. Putrajaya,overall,3.0
5278,2024-08-01,2.05,3.47,3.35,2.05,4.5595,136.5,Johor,overall,3.0
5279,2024-08-01,2.05,3.47,3.35,2.05,4.5595,127.5,Kedah,overall,3.0
5280,2024-08-01,2.05,3.47,3.35,2.05,4.5595,129.4,Kelantan,overall,3.0
5281,2024-08-01,2.05,3.47,3.35,2.05,4.5595,129.2,Melaka,overall,3.0
5282,2024-08-01,2.05,3.47,3.35,2.05,4.5595,131.6,Negeri Sembilan,overall,3.0
5283,2024-08-01,2.05,3.47,3.35,2.05,4.5595,131.8,Pahang,overall,3.0
5284,2024-08-01,2.05,3.47,3.35,2.05,4.5595,127.9,Perak,overall,3.0
5285,2024-08-01,2.05,3.47,3.35,2.05,4.5595,125.2,Perlis,overall,3.0
5286,2024-08-01,2.05,3.47,3.35,2.05,4.5595,136.4,Pulau Pinang,overall,3.0
5287,2024-08-01,2.05,3.47,3.35,2.05,4.5595,122.5,Sabah,overall,3.0
5288,2024-08-01,2.05,3.47,3.35,2.05,4.5595,128.1,Sarawak,overall,3.0
5289,2024-08-01,2.05,3.47,3.35,2.05,4.5595,139.3,Selangor,overall,3.0
5290,2024-08-01,2.05,3.47,3.35,2.05,4.5595,127.6,Terengganu,overall,3.0
5291,2024-08-01,2.05,3.47,3.35,2.05,4.5595,133.6,W.P. Kuala Lumpur,overall,3.0
5292,2024-08-01,2.05,3.47,3.35,2.05,4.5595,123.4,W.P. Labuan,overall,3.0
5293,2024-08-01,2.05,3.47,3.35,2.05,4.5595,140.4,W.P. Putrajaya,overall,3.0
5315,2024-09-01,2.05,3.42,3.18,2.05,4.3155,136.6,Johor,overall,3.0
5316,2024-09-01,2.05,3.42,3.18,2.05,4.3155,127.5,Kedah,overall,3.0
5317,2024-09-01,2.05,3.42,3.18,2.05,4.3155,129.3,Kelantan,overall,3.0
5318,2024-09-01,2.05,3.42,3.18,2.05,4.3155,129.1,Melaka,overall,3.0
5319,2024-09-01,2.05,3.42,3.18,2.05,4.3155,131.5,Negeri Sembilan,overall,3.0
5320,2024-09-01,2.05,3.42,3.18,2.05,4.3155,131.7,Pahang,overall,3.0
5321,2024-09-01,2.05,3.42,3.18,2.05,4.3155,128.0,Perak,overall,3.0
5322,2024-09-01,2.05,3.42,3.18,2.05,4.3155,125.1,Perlis,overall,3.0
5323,2024-09-01,2.05,3.42,3.18,2.05,4.3155,136.3,Pulau Pinang,overall,3.0
5324,2024-09-01,2.05,3.42,3.18,2.05,4.3155,122.6,Sabah,overall,3.0
5325,2024-09-01,2.05,3.42,3.18,2.05,4.3155,128.2,Sarawak,overall,3.0
5326,2024-09-01,2.05,3.42,3.18,2.05,4.3155,139.3,Selangor,overall,3.0
5327,2024-09-01,2.05,3.42,3.18,2.05,4.3155,127.5,Terengganu,overall,3.0
5328,2024-09-01,2.05,3.42,3.18,2.05,4.3155,133.6,W.P. Kuala Lumpur,overall,3.0
5329,2024-09-01,2.05,3.42,3.18,2.05,4.3155,123.3,W.P. Labuan,overall,3.0
5330,2024-09-01,2.05,3.42,3.18,2.05,4.3155,140.4,W.P. Putrajaya,overall,3.0
5351,2024-10-01,2.05,3.19,2.95,2.05,4.1675,136.8,Johor,overall,3.0
5352,2024-10-01,2.05,3.19,2.95,2.05,4.1675,127.6,Kedah,overall,3.0
5353,2024-10-01,2.05,3.19,2.95,2.05,4.1675,129.5,Kelantan,overall,3.0
5354,2024-10-01,2.05,3.19,2.95,2.05,4.1675,129.5,Melaka,overall,3.0
5355,2024-10-01,2.05,3.19,2.95,2.05,4.1675,131.7,Negeri Sembilan,overall,3.0
5356,2024-10-01,2.05,3.19,2.95,2.05,4.1675,131.7,Pahang,overall,3.0
5357,2024-10-01,2.05,3.19,2.95,2.05,4.1675,128.2,Perak,overall,3.0
5358,2024-10-01,2.05,3.19,2.95,2.05,4.1675,125.4,Perlis,overall,3.0
5359,2024-10-01,2.05,3.19,2.95,2.05,4.1675,136.5,Pulau Pinang,overall,3.0
5360,2024-10-01,2.05,3.19,2.95,2.05,4.1675,122.6,Sabah,overall,3.0
5361,2024-10-01,2.05,3.19,2.95,2.05,4.1675,128.0,Sarawak,overall,3.0
5362,2024-10-01,2.05,3.19,2.95,2.05,4.1675,139.5,Selangor,overall,3.0
5363,2024-10-01,2.05,3.19,2.95,2.05,4.1675,127.6,Terengganu,overall,3.0
5364,2024-10-01,2.05,3.19,2.95,2.05,4.1675,133.5,W.P. Kuala Lumpur,overall,3.0
5365,2024-10-01,2.05,3.19,2.95,2.05,4.1675,123.4,W.P. Labuan,overall,3.0
5366,2024-10-01,2.05,3.19,2.95,2.05,4.1675,140.6,W.P. Putrajaya,overall,3.0
5389,2024-11-01,2.05,3.19,2.95,2.05,4.381,136.8,Johor,overall,3.0
5390,2024-11-01,2.05,3.19,2.95,2.05,4.381,127.5,Kedah,overall,3.0
5391,2024-11-01,2.05,3.19,2.95,2.05,4.381,129.3,Kelantan,overall,3.0
5392,2024-11-01,2.05,3.19,2.95,2.05,4.381,129.4,Melaka,overall,3.0
5393,2024-11-01,2.05,3.19,2.95,2.05,4.381,131.6,Negeri Sembilan,overall,3.0
5394,2024-11-01,2.05,3.19,2.95,2.05,4.381,131.5,Pahang,overall,3.0
5395,2024-11-01,2.05,3.19,2.95,2.05,4.381,128.2,Perak,overall,3.0
5396,2024-11-01,2.05,3.19,2.95,2.05,4.381,125.1,Perlis,overall,3.0
5397,2024-11-01,2.05,3.19,2.95,2.05,4.381,136.4,Pulau Pinang,overall,3.0
5398,2024-11-01,2.05,3.19,2.95,2.05,4.381,122.6,Sabah,overall,3.0
5399,2024-11-01,2.05,3.19,2.95,2.05,4.381,127.9,Sarawak,overall,3.0
5400,2024-11-01,2.05,3.19,2.95,2.05,4.381,139.4,Selangor,overall,3.0
5401,2024-11-01,2.05,3.19,2.95,2.05,4.381,127.6,Terengganu,overall,3.0
5402,2024-11-01,2.05,3.19,2.95,2.05,4.381,133.3,W.P. Kuala Lumpur,overall,3.0
5403,2024-11-01,2.05,3.19,2.95,2.05,4.381,123.3,W.P. Labuan,overall,3.0
5404,2024-11-01,2.05,3.19,2.95,2.05,4.381,140.4,W.P. Putrajaya,overall,3.0
5425,2024-12-01,2.05,3.19,2.95,2.05,4.4395,137.0,Johor,overall,3.0
5426,2024-12-01,2.05,3.19,2.95,2.05,4.4395,127.4,Kedah,overall,3.0
5427,2024-12-01,2.05,3.19,2.95,2.05,4.4395,129.3,Kelantan,overall,3.0
5428,2024-12-01,2.05,3.19,2.95,2.05,4.4395,129.7,Melaka,overall,3.0
5429,2024-12-01,2.05,3.19,2.95,2.05,4.4395,131.8,Negeri Sembilan,overall,3.0
5430,2024-12-01,2.05,3.19,2.95,2.05,4.4395,131.6,Pahang,overall,3.0
5431,2024-12-01,2.05,3.19,2.95,2.05,4.4395,128.3,Perak,overall,3.0
5432,2024-12-01,2.05,3.19,2.95,2.05,4.4395,125.1,Perlis,overall,3.0
5433,2024-12-01,2.05,3.19,2.95,2.05,4.4395,136.3,Pulau Pinang,overall,3.0
5434,2024-12-01,2.05,3.19,2.95,2.05,4.4395,122.5,Sabah,overall,3.0
5435,2024-12-01,2.05,3.19,2.95,2.05,4.4395,127.9,Sarawak,overall,3.0
5436,2024-12-01,2.05,3.19,2.95,2.05,4.4395,139.5,Selangor,overall,3.0
5437,2024-12-01,2.05,3.19,2.95,2.05,4.4395,128.0,Terengganu,overall,3.0
5438,2024-12-01,2.05,3.19,2.95,2.05,4.4395,133.6,W.P. Kuala Lumpur,overall,3.0
5439,2024-12-01,2.05,3.19,2.95,2.05,4.4395,123.2,W.P. Labuan,overall,3.0
5440,2024-12-01,2.05,3.19,2.95,2.05,4.4395,140.5,W.P. Putrajaya,overall,3.0
5462,2025-01-01,2.05,3.25,2.95,2.05,4.47,137.4,Johor,overall,3.0
5463,2025-01-01,2.05,3.25,2.95,2.05,4.47,127.6,Kedah,overall,3.0
5464,2025-01-01,2.05,3.25,2.95,2.05,4.47,129.6,Kelantan,overall,3.0
5465,2025-01-01,2.05,3.25,2.95,2.05,4.47,130.0,Melaka,overall,3.0
5466,2025-01-01,2.05,3.25,2.95,2.05,4.47,132.1,Negeri Sembilan,overall,3.0
5467,2025-01-01,2.05,3.25,2.95,2.05,4.47,131.9,Pahang,overall,3.0
5468,2025-01-01,2.05,3.25,2.95,2.05,4.47,128.4,Perak,overall,3.0
5469,2025-01-01,2.05,3.25,2.95,2.05,4.47,125.3,Perlis,overall,3.0
5470,2025-01-01,2.05,3.25,2.95,2.05,4.47,136.4,Pulau Pinang,overall,3.0
5471,2025-01-01,2.05,3.25,2.95,2.05,4.47,122.7,Sabah,overall,3.0
5472,2025-01-01,2.05,3.25,2.95,2.05,4.47,128.0,Sarawak,overall,3.0
5473,2025-01-01,2.05,3.25,2.95,2.05,4.47,139.8,Selangor,overall,3.0
5474,2025-01-01,2.05,3.25,2.95,2.05,4.47,128.3,Terengganu,overall,3.0
5475,2025-01-01,2.05,3.25,2.95,2.05,4.47,133.6,W.P. Kuala Lumpur,overall,3.0
5476,2025-01-01,2.05,3.25,2.95,2.05,4.47,123.3,W.P. Labuan,overall,3.0
